Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Perfect,Ed Sheeran,÷ (Deluxe),2017,263400,3,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,86
Photograph,Ed Sheeran,x (Deluxe Edition),2015,258986,4,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,82
Shape of You,Ed Sheeran,÷ (Deluxe),2017,233712,4,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,85
Shivers,Ed Sheeran,=,2021,207853,4,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,82
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),2014,281560,4,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,81
Con Tus Besos,Eslabon Armado,Tu Veneno Mortal,2023,226821,3,0.681,0.664,6,-8.019,0,0.0353,0.335,0,0.0418,0.861,102.166,71
HASTA LA MUERTE,Eslabon Armado,NOSTALGIA,2022,209902,3,0.555,0.832,11,-3.691,1,0.0412,0.28,0,0.0894,0.43,170.124,74
Tú Eres,Eslabon Armado,Vibras de Noche,2023,245203,4,0.62,0.461,1,-7.688,1,0.0268,0.605,0.000029,0.0758,0.561,97.659,44
Log in,FIFTY FIFTY,The Beginning,2023,231291,4,0.871,0.595,2,-7.584,1,0.189,0.165,0.00000473,0.379,0.369,132.042,28
Lovin' Me,FIFTY FIFTY,The Beginning,2023,189809,4,0.459,0.543,8,-8.763,1,0.408,0.637,0.0000308,0.0886,0.556,170.881,44
Bebe Dame,Fuerza Regida,Bebe Dame,2022,271861,4,0.537,0.602,7,-4.631,1,0.0458,0.296,0,0.0715,0.753,157.437,71
CRAZYZ,Fuerza Regida,Pa las Baby's Y Belikeada,2023,204815,3,0.809,0.849,4,-6.769,0,0.0738,0.251,0.0000736,0.325,0.753,126,79
NEL,Fuerza Regida,PERO NO TE ENAMORES,2022,149073,4,0.69,0.482,7,-6.335,0,0.2,0.523,0.0004,0.0728,0.356,100.029,84
Radicamos En South Central,Fuerza Regida,Jimmy Humilde Presenta Lo Mejor De Las Calles Vol.3,2023,228853,1,0.748,0.739,7,-1.972,1,0.0381,0.461,0.0000047,0.0834,0.962,115.966,62
Sigo Chambeando,Fuerza Regida,Jimmy Humilde Presenta Lo Mejor De Las Calles Vol. 4,2023,200161,3,0.819,0.48,5,-6.966,1,0.0489,0.685,0.00000203,0.116,0.759,114.04,63
NO SE VA - EN VIVO,Grupo Frontera,El Comienzo,2023,193816,4,0.57,0.71,0,-4.526,1,0.0304,0.0898,0,0.292,0.752,172.719,78
QUE VUELVAS,Grupo Frontera,El Comienzo,2023,169418,4,0.497,0.644,10,-4.309,1,0.0443,0.188,0,0.114,0.779,162.542,81
un x100to,Grupo Frontera,El Comienzo,2023,194563,4,0.571,0.72,9,-4.089,1,0.0458,0.213,0,0.271,0.542,83.827,79
Baby Birkin,Gunna,Drip or Drown 2,2021,181948,4,0.848,0.649,2,-6.083,1,0.315,0.232,0,0.101,0.629,118.04,57
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,WUNNA,2021,197760,4,0.825,0.458,0,-7.47,1,0.0577,0.114,0,0.102,0.161,145.115,68
pushin P (feat. Young Thug),Gunna,DS4EVER,2022,136266,1,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,69
rodeo dr,Gunna,a Gift & a Curse,2022,176946,4,0.8,0.754,1,-5.259,0,0.216,0.0668,0,0.278,0.334,134.136,60
Sold Out Dates (feat. Lil Baby),Gunna,Sold Out Dates (feat. Lil Baby),2022,166368,4,0.817,0.556,4,-7.178,0,0.14,0.469,0,0.131,0.314,126.991,66
GIVE HEAVEN SOME HELL,HARDY,A ROCK,2021,217801,4,0.639,0.839,11,-4.99,1,0.0364,0.0529,0,0.0854,0.528,126.057,70
REDNECKER,HARDY,THIS OLE BOY,2020,201832,4,0.536,0.751,7,-5.472,1,0.0342,0.0506,0.0000963,0.1,0.51,143.977,65
ROCKSTAR,HARDY,Quit!!,2020,194341,4,0.542,0.962,0,-3.096,1,0.0911,0.000474,0.00103,0.166,0.659,150.025,63
SOLD OUT,HARDY,SOLD OUT,2020,202912,4,0.504,0.891,9,-4.784,1,0.0492,0.00527,0.00002,0.341,0.329,144.99,34
TRUCK BED,HARDY,the mockingbird & THE CROW,2021,167534,4,0.663,0.77,0,-4.88,1,0.0371,0.0876,0,0.352,0.772,132.058,79
WHERE YA AT,HARDY,A ROCK,2022,179506,4,0.635,0.97,9,-4.03,1,0.0481,0.0087,0.0000188,0.393,0.712,117.981,42
Adore You,Harry Styles,Fine Line,2019,207133,4,0.676,0.771,8,-3.675,1,0.0483,0.0237,0.000007,0.102,0.569,99.048,82
As It Was,Harry Styles,Harry's House,2022,167303,4,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,91
Falling,Harry Styles,Fine Line,2020,240133,4,0.567,0.267,4,-6.502,1,0.0299,0.839,0.00000146,0.089,0.0592,110.011,79
Golden,Harry Styles,Fine Line,2020,208906,4,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,74
Kiwi,Harry Styles,Harry Styles,2017,176386,4,0.375,0.93,2,-2.631,1,0.0561,0.00064,0,0.318,0.491,147.124,69
Lights Up,Harry Styles,Fine Line,2019,172213,4,0.575,0.621,10,-8.165,0,0.032,0.0392,0.0045,0.141,0.27,101.987,69
Sign of the Times,Harry Styles,Harry Styles,2017,340706,4,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,81
Sweet Creature,Harry Styles,Harry Styles,2017,224866,4,0.427,0.262,7,-8.541,1,0.0276,0.746,0,0.068,0.228,104.085,71
Treat People With Kindness,Harry Styles,Fine Line,2021,197346,4,0.653,0.869,5,-3.725,1,0.0382,0.128,0.000022,0.046,0.697,122.017,62
Watermelon Sugar,Harry Styles,Fine Line,2020,174000,4,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,86
Alineando Cabrones - En Vivo,Hermanos Vega Jr.,"En Vivo Fiesta Privada, Vol. 1",2023,315300,3,0.573,0.514,7,-8.364,1,0.242,0.496,0.00000778,0.271,0.706,186.611,23
Luto en el Cielo,Hermanos Vega Jr.,A Lo Sierreño Corridos de la Dinastía,2023,196336,3,0.756,0.606,2,-3.303,1,0.0298,0.54,0.0000024,0.141,0.95,101.792,10
Bikini Bottom,Ice Spice,Bikini Bottom,2023,106666,3,0.749,0.629,8,-5.434,1,0.216,0.21,0.00000162,0.0849,0.577,161.945,60
Deli,Ice Spice,Like..? (Deluxe),2023,126857,4,0.793,0.768,1,-6.244,1,0.144,0.118,0.0000365,0.114,0.261,140.141,73
Did It First (with Central Cee),Ice Spice,Did It First (with Central Cee),2023,118002,4,0.635,0.574,1,-7.453,1,0.322,0.229,0,0.126,0.592,153.938,86
In Ha Mood,Ice Spice,In Ha Mood,2022,129360,4,0.767,0.722,0,-6.586,1,0.31,0.678,0.000011,0.231,0.52,141.075,67
Munch (Feelin’ U),Ice Spice,Munch (Feelin’ U),2022,104819,4,0.811,0.528,11,-7.278,0,0.275,0.291,0,0.0787,0.635,166.084,64
No Clarity,Ice Spice,No Clarity,2023,108169,4,0.613,0.668,11,-5.812,1,0.2,0.591,0.0000137,0.169,0.716,141.826,52
Phat Butt,Ice Spice,Phat Butt,2023,129293,4,0.749,0.512,1,-9.28,1,0.19,0.0526,0.0282,0.116,0.111,165.093,64
LA CANCIÓN,J Balvin,OASIS,2019,242573,4,0.756,0.646,7,-5.795,1,0.319,0.152,0.0000181,0.108,0.429,176.088,84
QUE PRETENDES,J Balvin,OASIS,2020,222346,4,0.639,0.791,10,-4.443,0,0.254,0.0275,0,0.362,0.933,92.603,76
1985 - Intro to “The Fall Off”,J. Cole,KOD,2018,190176,4,0.679,0.648,2,-5.892,1,0.445,0.145,0,0.182,0.635,94.378,57
ATM,J. Cole,KOD,2018,216726,4,0.772,0.498,8,-7.661,1,0.649,0.115,0,0.0898,0.351,81.817,57
Deja Vu,J. Cole,4 Your Eyez Only,2018,264746,4,0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,67
False Prophets,J. Cole,False Prophets,2016,237426,4,0.729,0.739,8,-9.5,0,0.338,0.696,0.00000937,0.164,0.749,90.306,55
Love Yourz,J. Cole,2014 Forest Hills Drive,2018,211496,4,0.677,0.638,8,-8.631,1,0.333,0.589,0,0.193,0.435,82.81,74
Neighbors,J. Cole,4 Your Eyez Only,2018,216520,4,0.898,0.283,6,-12.335,0,0.356,0.319,0.000383,0.11,0.469,138.97,69
Wet Dreamz,J. Cole,2014 Forest Hills Drive,2014,239266,4,0.495,0.722,6,-8.108,0,0.357,0.0697,0,0.113,0.539,175.627,80
Any Ol' Barstool,Jason Aldean,They Don't Know,2016,203293,4,0.539,0.722,4,-4.163,1,0.0282,0.314,0,0.117,0.497,143.78,59
Big Green Tractor,Jason Aldean,Wide Open,2009,204200,4,0.623,0.59,4,-5.014,1,0.028,0.646,0,0.295,0.578,137.073,67
Burnin' It Down,Jason Aldean,"Old Boots, New Dirt",2014,219160,4,0.682,0.795,6,-6.652,1,0.0489,0.305,0.00000941,0.109,0.64,135.941,65
Crazy Town,Jason Aldean,Wide Open,2009,183440,4,0.431,0.841,6,-2.988,1,0.0371,0.13,0,0.0517,0.486,180.975,55
Dirt Road Anthem,Jason Aldean,My Kinda Party,2011,229400,4,0.68,0.74,2,-5.064,1,0.0355,0.342,0.00000181,0.117,0.644,127.024,72
Hicktown,Jason Aldean,Jason Aldean,2005,306026,4,0.697,0.877,6,-3.885,1,0.0348,0.00913,0.00000693,0.0726,0.768,121.533,58
My Kinda Party,Jason Aldean,My Kinda Party,2010,284960,4,0.41,0.9,0,-4.249,0,0.0654,0.0166,0.0000112,0.339,0.56,176.96,64
Night Train,Jason Aldean,Night Train,2012,232306,4,0.496,0.709,5,-5.174,1,0.0292,0.0507,0.00000104,0.182,0.504,158.124,62
She's Country,Jason Aldean,Wide Open,2009,220573,4,0.553,0.872,1,-2.832,0,0.0781,0.196,0,0.0659,0.638,172.139,72
You Make It Easy,Jason Aldean,Rearview Town,2018,193226,3,0.542,0.571,7,-5.299,1,0.028,0.156,0,0.101,0.506,131.877,72
Creature,Jelly Roll,A Beautiful Disaster,2023,239592,4,0.763,0.603,8,-9.201,1,0.0788,0.176,0,0.0863,0.402,140.068,65
Dancing With The Devil,Jelly Roll,Whitsitt Chapel,2021,217360,3,0.39,0.791,9,-4.777,1,0.0568,0.223,0,0.0683,0.487,179.68,52
Need A Favor,Jelly Roll,Whitsitt Chapel,2023,197400,4,0.502,0.771,6,-4.246,1,0.032,0.0123,0.0000182,0.0801,0.557,157.978,77
Proud,Jelly Roll,Waylon & Willie,2021,273482,4,0.748,0.679,10,-7.219,1,0.0384,0.492,0.00000847,0.142,0.255,129.952,33
Save Me,Jelly Roll,Self Medicated,2021,240722,3,0.677,0.404,0,-9.552,1,0.027,0.653,0,0.249,0.355,83.087,69
Sober,Jelly Roll,Ballads of the Broken,2021,156133,4,0.458,0.542,1,-6.989,1,0.0313,0.357,0.00000198,0.114,0.26,79.747,55
Son Of A Sinner,Jelly Roll,Ballads of the Broken,2021,232093,4,0.365,0.541,7,-7.489,1,0.0304,0.0419,0.00000225,0.281,0.329,86.041,74
Almost Maybes,Jordan Davis,Almost Maybes,2022,179152,4,0.582,0.868,11,-3.927,1,0.0522,0.146,0,0.103,0.555,90.105,55
Buy Dirt,Jordan Davis,Buy Dirt,2021,167480,4,0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945,80
Cool Anymore,Jordan Davis,Cool Anymore,2022,200415,4,0.519,0.738,7,-5.452,1,0.0327,0.133,0,0.0986,0.506,155.972,48
Next Thing You Know,Jordan Davis,Bluebird Days,2023,175226,4,0.549,0.608,5,-8.253,1,0.0481,0.682,0,0.0966,0.399,78.534,77
Selfish,Jordan Davis,Home State,2022,192954,4,0.752,0.655,8,-6.07,1,0.0366,0.118,0.000297,0.0909,0.669,89.97,52
Singles You Up,Jordan Davis,Home State,2018,182666,4,0.491,0.907,7,-3.594,1,0.0481,0.0491,0,0.242,0.631,199.943,69
Slow Dance In A Parking Lot,Jordan Davis,Home State,2018,193929,4,0.523,0.837,7,-4.494,1,0.0335,0.301,0,0.172,0.523,82.006,66
Take It From Me,Jordan Davis,Home State,2021,174254,4,0.592,0.891,10,-3.144,1,0.0512,0.0267,0,0.352,0.674,99.983,71
3D (feat. Jack Harlow),Jung Kook,3D : The Remixes,2023,201812,4,0.853,0.824,1,-3.287,1,0.103,0.0322,0,0.0859,0.888,108.044,78
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2022,201391,4,0.709,0.879,0,-4.218,1,0.042,0.158,0.00158,0.441,0.34,114.99,71
Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,2023,183550,4,0.79,0.831,11,-4.185,1,0.044,0.312,0,0.0797,0.872,124.987,86
Standing Next to You,Jung Kook,GOLDEN,2023,206019,4,0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,90
Still With You,Jung Kook,Still With You,2020,239905,4,0.529,0.469,1,-6.967,0,0.0358,0.0899,0.0000153,0.831,0.344,87.864,77
Yes or No,Jung Kook,GOLDEN,2023,147557,4,0.671,0.839,1,-2.645,1,0.0866,0.179,0,0.0748,0.882,83.845,77
Extssy Model,Junior H,Mi Vida En Un Cigarro 2,2023,240654,3,0.675,0.725,4,-4.766,0,0.0334,0.0839,0,0.334,0.469,92.513,81
TRES BOTELLAS,Junior H,$AD BOYZ 4 LIFE II,2023,162648,4,0.723,0.59,11,-7.688,0,0.0341,0.246,0.0000502,0.201,0.587,97.481,78
clouds,JVKE,clouds,2021,162615,4,0.641,0.905,11,-3.694,1,0.0334,0.435,0.0491,0.185,0.875,94.874,67
golden hour,JVKE,this is what falling in love feels like (554Hz),2021,209259,3,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,77
this is what falling in love feels like,JVKE,this is what ____ feels like (Vol. 1-4),2022,120308,5,0.422,0.44,11,-5.53,1,0.0544,0.617,0,0.0837,0.332,128.934,76
this is what heartbreak feels like,JVKE,this is what ____ feels like (Vol. 1-4),2023,157636,4,0.707,0.474,1,-4.603,1,0.0672,0.578,0,0.11,0.538,109.991,67
Fantasy (feat. Don Toliver),Kali Uchis,Red Moon In Venus,2022,178274,4,0.625,0.684,6,-6.146,1,0.0496,0.132,0.000334,0.137,0.133,104.023,66
Moonlight,Kali Uchis,Red Moon In Venus,2022,187723,4,0.642,0.706,7,-6.832,0,0.0507,0.518,0,0.243,0.86,136.854,80
Simple,Kali Uchis,ORQUÍDEAS PARTE 2 - Deluxe,2022,202123,4,0.611,0.454,1,-9.166,0,0.0257,0.498,0.077,0.15,0.354,87.945,64
telepatía,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,2020,160191,4,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,82
Cool Again,Kane Brown,Cool Again,2020,164668,4,0.608,0.735,4,-5.497,1,0.0371,0.0156,0.00000169,0.361,0.773,90.007,52
Good as You,Kane Brown,Experiment Extended,2018,192053,4,0.626,0.516,8,-6.05,1,0.0388,0.4,0,0.142,0.769,153.653,62
Heaven,Kane Brown,Kane Brown (Deluxe Edition),2018,179506,4,0.677,0.556,9,-6.544,1,0.0306,0.263,0,0.105,0.521,80.006,71
Homesick,Kane Brown,Experiment Extended,2018,205400,4,0.701,0.5,8,-8.82,1,0.0303,0.46,0,0.234,0.409,97.028,61
Lose It,Kane Brown,Experiment Extended,2018,178986,4,0.545,0.854,4,-4.968,0,0.0289,0.00244,0.0000012,0.249,0.436,91.967,60
What Ifs (feat. Lauren Alaina),Kane Brown,Kane Brown,2017,188253,4,0.612,0.799,10,-4.603,1,0.0275,0.00898,0,0.172,0.687,125.976,71
Worship You,Kane Brown,Worship You,2020,205746,4,0.63,0.496,8,-7.011,1,0.0329,0.388,0,0.088,0.387,78.024,45
Ahora Me Llama,KAROL G,Unstoppable,2017,235226,4,0.646,0.573,7,-5.716,0,0.041,0.00949,0.0000398,0.0932,0.109,134.979,70
AMARGURA,KAROL G,MAÑANA SERÁ BONITO,2023,170480,4,0.912,0.7,6,-3.331,0,0.068,0.163,0,0.174,0.535,106.981,88
CONTIGO (with Tiësto),KAROL G,CONTIGO (with Tiësto),2023,192786,4,0.85,0.562,5,-7.863,1,0.0724,0.169,0.00000323,0.104,0.293,122.029,82
EL MAKINON,KAROL G,KG0516,2021,209160,4,0.635,0.706,5,-3.224,0,0.125,0.256,0,0.108,0.443,88.863,74
GATITA GANGSTER,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),2023,170920,4,0.826,0.552,10,-5.167,0,0.144,0.167,0.00000623,0.101,0.532,96.981,75
GATÚBELA,KAROL G,GATÚBELA,2022,209160,4,0.627,0.858,11,-2.824,0,0.386,0.263,0,0.21,0.342,92.523,71
Ocean,KAROL G,OCEAN,2023,155946,4,0.727,0.482,11,-6.193,1,0.115,0.933,0,0.388,0.487,74.93,73
PROVENZA,KAROL G,MAÑANA SERÁ BONITO,2022,207626,4,0.863,0.502,1,-7.912,1,0.0496,0.61,0.00765,0.11,0.567,111.029,83
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,2023,195824,4,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,96
Tusa,KAROL G,Tusa,2019,200960,4,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,74
Because of You,Kelly Clarkson,Breakaway,2004,219493,4,0.583,0.584,5,-5.362,0,0.0314,0.254,0,0.123,0.136,140.039,65
Behind These Hazel Eyes,Kelly Clarkson,Breakaway,2005,198973,4,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,60
Breakaway,Kelly Clarkson,Breakaway,2004,237000,3,0.446,0.701,9,-4.179,0,0.0295,0.0298,0.00000889,0.0931,0.394,159.958,61
Never Again,Kelly Clarkson,My December,2004,217293,4,0.514,0.91,7,-2.978,0,0.0714,0.00168,0.00187,0.224,0.472,145.907,44
Piece by Piece - Idol Version,Kelly Clarkson,Piece By Piece (Deluxe Version),2016,212280,4,0.561,0.245,1,-6.372,1,0.0344,0.904,0,0.0933,0.402,109.558,56
Since U Been Gone,Kelly Clarkson,Breakaway,2004,188960,4,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131,75
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),2011,221946,4,0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,64
Walk Away,Kelly Clarkson,Breakaway,2005,189306,4,0.75,0.888,0,-4.524,1,0.0426,0.0147,0.00000111,0.0759,0.935,115.973,47
Clarity,Kim Petras,Clarity,2022,122872,4,0.702,0.685,3,-5.287,1,0.0879,0.00187,0.0000398,0.227,0.573,159.88,37
Coconuts,Kim Petras,Coconuts,2022,168559,4,0.728,0.863,2,-4.67,0,0.0675,0.0139,0.000259,0.167,0.489,111.972,52
Future Starts Now,Kim Petras,Future Starts Now,2022,279270,4,0.693,0.853,6,-4.241,1,0.0503,0.00329,0.000193,0.123,0.432,119.948,46
Heart to Break,Kim Petras,Heart to Break,2018,225972,4,0.737,0.602,11,-5.292,1,0.204,0.0393,0.00000274,0.236,0.88,109.039,56
I Don't Want It At All,Kim Petras,I Don't Want It At All,2018,250615,4,0.768,0.729,6,-3.521,0,0.0743,0.101,0,0.0774,0.772,110.02,48
Malibu,Kim Petras,Malibu,2020,191808,4,0.627,0.838,2,-4.352,1,0.183,0.0247,0.000383,0.223,0.536,120,48
Sex Talk,Kim Petras,Feed The Beast,2020,155853,4,0.88,0.674,9,-6.143,0,0.206,0.0457,0,0.0279,0.859,111.985,36
There Will Be Blood,Kim Petras,TURN OFF THE LIGHT,2023,197651,4,0.563,0.879,0,-4.735,0,0.0907,0.00125,0.0000176,0.166,0.602,107.013,46
Treat Me Like A Slut,Kim Petras,Slut Pop,2021,118153,4,0.914,0.696,11,-4.482,0,0.134,0.00225,0.0000797,0.0979,0.572,130.028,63
BIG MAD,Ktlyn,BIG MAD,2023,143111,4,0.958,0.523,8,-6.1,1,0.0591,0.0293,0,0.106,0.309,102.039,57
Plain Jayne,Ktlyn,Plain Jayne,2023,123920,4,0.893,0.558,9,-6.556,1,0.152,0.278,0.00214,0.104,0.647,94.034,50
Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),2018,210200,4,0.549,0.502,0,-5.972,1,0.0405,0.299,0,0.764,0.291,129.842,82
Applause,Lady Gaga,ARTPOP,2013,212333,4,0.668,0.78,7,-4.287,0,0.053,0.0265,0.00000163,0.143,0.738,139.945,76
Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),2009,294573,4,0.695,0.921,0,-3.752,1,0.0363,0.00314,0.0000526,0.0842,0.714,119.007,83
Bloody Mary,Lady Gaga,Born This Way (Special Edition),2011,244760,4,0.591,0.634,9,-6.365,0,0.0291,0.0107,0.00000195,0.113,0.44,99.998,67
Born This Way,Lady Gaga,Born This Way (Special Edition),2011,260252,4,0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.493,123.907,67
Die With A Smile,Lady Gaga,Die With A Smile,2020,251667,3,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,86
Million Reasons,Lady Gaga,Joanne (Deluxe),2016,205280,4,0.666,0.423,0,-8.012,1,0.0429,0.494,0,0.106,0.154,129.893,74
Poker Face,Lady Gaga,The Fame,2008,237200,4,0.851,0.806,4,-4.618,1,0.0787,0.119,0.00000172,0.121,0.774,119.001,77
Shallow,Lady Gaga,A Star Is Born Soundtrack,2018,215733,4,0.577,0.385,7,-6.362,1,0.03,0.371,0,0.231,0.331,95.82,83
Atta Girl,Lainey Wilson,Bell Bottom Country,2022,206693,4,0.747,0.521,11,-7.439,1,0.0351,0.233,0.0000617,0.101,0.673,141.983,61
Hang Tight Honey,Lainey Wilson,Hang Tight Honey,2023,189786,4,0.494,0.956,0,-4.67,1,0.0729,0.0266,0.0000358,0.665,0.772,171.977,69
Heart Like A Truck,Lainey Wilson,Bell Bottom Country,2022,199040,4,0.587,0.632,9,-5.416,1,0.0311,0.148,0.0000101,0.158,0.392,139.974,73
Road Runner,Lainey Wilson,Bell Bottom Country,2023,226826,4,0.476,0.846,2,-4.362,1,0.0338,0.0716,0.000014,0.315,0.821,159.956,47
Rolling Stone,Lainey Wilson,Sayin’ What I’m Thinkin’,2023,239013,4,0.596,0.54,9,-8.82,0,0.0442,0.243,0.000081,0.347,0.476,77.049,48
Smell Like Smoke,Lainey Wilson,Bell Bottom Country,2023,168120,4,0.576,0.723,0,-4.411,1,0.0528,0.134,0.00000529,0.123,0.778,176.141,60
Straight Up Sideways,Lainey Wilson,Sayin’ What I’m Thinkin’,2023,176053,4,0.539,0.839,9,-4.408,1,0.045,0.0216,0.00000207,0.174,0.971,160.049,49
Things A Man Oughta Know,Lainey Wilson,Sayin’ What I’m Thinkin’,2021,203373,4,0.659,0.683,3,-5.623,1,0.0312,0.513,0.00000493,0.133,0.397,139.931,71
Workin' Overtime,Lainey Wilson,Workin' Overtime,2023,197685,4,0.52,0.816,8,-7.358,1,0.0583,0.0363,0,0.0897,0.75,155.934,51
WWDD,Lainey Wilson,Sayin’ What I’m Thinkin’,2023,140413,4,0.632,0.832,2,-3.185,1,0.0334,0.0019,0.0000108,0.201,0.885,114.007,49
B*tch From Da Souf,Latto,B*tch From Da Souf,2020,144047,4,0.862,0.235,1,-15.545,1,0.699,0.0241,0,0.123,0.398,150.062,51
Big Energy,Latto,Big Energy,2021,173182,4,0.935,0.807,11,-3.838,0,0.114,0.0514,0,0.349,0.813,106.017,65
Blick Sum,Latto,Sugar Honey Iced Tea,2023,191546,4,0.774,0.622,9,-6.989,1,0.361,0.000692,0,0.748,0.388,150.137,58
Like A Thug (feat. Lil Durk),Latto,777,2023,172137,4,0.874,0.617,3,-7.205,0,0.234,0.195,0,0.239,0.819,144.98,36
